Arkansas:2005:Abacion wilhelminae
Arkansas:2005:Acalypta lillianus
Arkansas:2005:Acalypta susanae
Arkansas:2005:Acipenser fulvescens
Arkansas:2005:Agapetus medicus
Arkansas:2005:Aimophila aestivalis
Arkansas:2005:Aimophila ruficeps
Arkansas:2005:Alasmidonta marginata
Arkansas:2005:Alasmidonta viridis
Arkansas:2005:Allocapnia jeanae
Arkansas:2005:Allocapnia ozarkana
Arkansas:2005:Allocapnia warreni
Arkansas:2005:Allocrangonyx hubrichti
Arkansas:2005:Alloperla caddo
Arkansas:2005:Alosa alabamae
Arkansas:2005:Amblyopsis rosae
Arkansas:2005:Amblyscirtes aesculapius
Arkansas:2005:Amblyscirtes carolina
Arkansas:2005:Amblyscirtes linda
Arkansas:2005:Ambystoma annulatum
Arkansas:2005:Ambystoma talpoideum
Arkansas:2005:Ambystoma tigrinum tigrinum
Arkansas:2005:Ammocrypta clara
Arkansas:2005:Ammodramus savannarum
Arkansas:2005:Anas acuta
Arkansas:2005:Anas rubripes
Arkansas:2005:Anhinga anhinga
Arkansas:2005:Anodonta suborbiculata
Arkansas:2005:Apochthonius diabolus
Arkansas:2005:Arcidens confragosus
Arkansas:2005:Arianops copelandi
Arkansas:2005:Arrhopalites clarus
Arkansas:2005:Asio flammeus
Arkansas:2005:Atractosteus spatula
Arkansas:2005:Bactrurus pseudomucronatus
Arkansas:2005:Bartramia longicauda
Arkansas:2005:Bonasa umbellus
Arkansas:2005:Bouchardina robisoni
Arkansas:2005:Caecidotea ancyla
Arkansas:2005:Caecidotea dimorpha
Arkansas:2005:Caecidotea fonticulus
Arkansas:2005:Caecidotea macropropoda
Arkansas:2005:Caecidotea oculata
Arkansas:2005:Caecidotea steevesi
Arkansas:2005:Caecidotea stiladactyla
Arkansas:2005:Calcarius pictus
Arkansas:2005:Calephelis muticum
Arkansas:2005:Calidris alba
Arkansas:2005:Calidris alpina
Arkansas:2005:Calidris himantopus
Arkansas:2005:Calidris mauri
Arkansas:2005:Calidris minutilla
Arkansas:2005:Calidris pusilla
Arkansas:2005:Callophrys irus hadros
Arkansas:2005:Cambarus aculabrum
Arkansas:2005:Cambarus causeyi
Arkansas:2005:Cambarus setosus
Arkansas:2005:Cambarus zophonastes
Arkansas:2005:Campephilus principalis
Arkansas:2005:Caprimulgus carolinensis
Arkansas:2005:Caprimulgus vociferus
Arkansas:2005:Carphophis amoenus helenae
Arkansas:2005:Catocala lincolnana
Arkansas:2005:Chaetura pelagica
Arkansas:2005:Charadrius melodus
Arkansas:2005:Cicindela cursitans
Arkansas:2005:Cicindela duodecimguttata
Arkansas:2005:Cicindela formosa pigmentosignata
Arkansas:2005:Cicindela hirticollis
Arkansas:2005:Cicindela lepida
Arkansas:2005:Cicindela macra
Arkansas:2005:Cicindela obsoleta
Arkansas:2005:Cicindela purpurea
Arkansas:2005:Cicindela unipunctata
Arkansas:2005:Circus cyaneus
Arkansas:2005:Coccyzus americanus
Arkansas:2005:Colinus virginianus
Arkansas:2005:Corynorhinus rafinesquii
Arkansas:2005:Corynorhinus townsendii ingens
Arkansas:2005:Crosbyella distincta
Arkansas:2005:Crosbyella roeweri
Arkansas:2005:Crotalus atrox
Arkansas:2005:Crotaphytus collaris
Arkansas:2005:Crystallaria asprella
Arkansas:2005:Cumberlandia monodonta
Arkansas:2005:Cycleptus elongatus
Arkansas:2005:Cyclonaias tuberculata
Arkansas:2005:Cyprinella camura
Arkansas:2005:Cyprogenia aberti
Arkansas:2005:Dannella provonshai
Arkansas:2005:Deirochelys reticularia miaria
Arkansas:2005:Dendroica cerulea
Arkansas:2005:Dendroica discolor
Arkansas:2005:Dendroica petechia
Arkansas:2005:Desmognathus conanti
Arkansas:2005:Diplocardia meansi
Arkansas:2005:Dryobius sexnotatus
Arkansas:2005:Egretta caerulea
Arkansas:2005:Egretta thula
Arkansas:2005:Ellipsaria lineolata
Arkansas:2005:Empidonax traillii
Arkansas:2005:Epioblasma florentina curtisi
Arkansas:2005:Epioblasma triquetra
Arkansas:2005:Epioblasma turgidula
Arkansas:2005:Erimystax harryi
Arkansas:2005:Erimyzon sucetta
Arkansas:2005:Etheostoma cragini
Arkansas:2005:Etheostoma fragi
Arkansas:2005:Etheostoma fusiforme
Arkansas:2005:Etheostoma moorei
Arkansas:2005:Etheostoma pallididorsum
Arkansas:2005:Etheostoma uniporum
Arkansas:2005:Eumeces obsoletus
Arkansas:2005:Eumeces obtusirostris
Arkansas:2005:Euphyes dukesi
Arkansas:2005:Eurycea quadridigitata
Arkansas:2005:Eurycea spelaea
Arkansas:2005:Eurycea tynerensis
Arkansas:2005:Fallicambarus gilpini
Arkansas:2005:Fallicambarus harpi
Arkansas:2005:Fallicambarus jeanae
Arkansas:2005:Fallicambarus petilicarpus
Arkansas:2005:Fallicambarus strawni
Arkansas:2005:Faxonella blairi
Arkansas:2005:Fusconaia ozarkensis
Arkansas:2005:Gallinula chloropus
Arkansas:2005:Gastrocopta rogersensis
Arkansas:2005:Gastrophryne olivacea
Arkansas:2005:Geomys bursarius ozarkensis
Arkansas:2005:Glebula rotundata
Arkansas:2005:Gomphus ozarkensis
Arkansas:2005:Haliaeetus leucocephalus
Arkansas:2005:Helmitheros vermivorus
Arkansas:2005:Hemidactylium scutatum
Arkansas:2005:Hesperia meskei
Arkansas:2005:Hiodon alosoides
Arkansas:2005:Hydroporus ouachitus
Arkansas:2005:Hydroporus sulphurius
Arkansas:2005:Hyla avivoca
Arkansas:2005:Hylocichla mustelina
Arkansas:2005:Ictinia mississippiensis
Arkansas:2005:Isoperla szczytkoi
Arkansas:2005:Lampetra appendix
Arkansas:2005:Lampsilis abrupta
Arkansas:2005:Lampsilis hydiana
Arkansas:2005:Lampsilis ornata
Arkansas:2005:Lampsilis powellii
Arkansas:2005:Lampsilis rafinesqueana
Arkansas:2005:Lampsilis reeveiana
Arkansas:2005:Lampsilis siliquoidea
Arkansas:2005:Lampsilis sp_A
Arkansas:2005:Lampsilis sp_B
Arkansas:2005:Lampsilis streckeri
Arkansas:2005:Lanius ludovicianus migrans
Arkansas:2005:Lasiurus seminolus
Arkansas:2005:Lasmigona costata
Arkansas:2005:Leptodea leptodon
Arkansas:2005:Lepus californicus
Arkansas:2005:Leuctra paleo
Arkansas:2005:Ligumia recta
Arkansas:2005:Limnodromus griseus
Arkansas:2005:Limnothlypis swainsonii
Arkansas:2005:Limosa haemastica
Arkansas:2005:Lirceus bicuspidatus
Arkansas:2005:Lirceus bidentatus
Arkansas:2005:Lucanus elephus
Arkansas:2005:Lythrurus snelsoni
Arkansas:2005:Macrhybopsis gelida
Arkansas:2005:Macrhybopsis meeki
Arkansas:2005:Margaritifera hembeli
Arkansas:2005:Melanerpes erythrocephalus
Arkansas:2005:Microcreagris ozarkensis
Arkansas:2005:Micrurus tenere tenere
Arkansas:2005:Millerelix peregrina
Arkansas:2005:Moxostoma macrolepidotum
Arkansas:2005:Mustela frenata
Arkansas:2005:Mycteria americana
Arkansas:2005:Myotis austroriparius
Arkansas:2005:Myotis grisescens
Arkansas:2005:Myotis leibii
Arkansas:2005:Myotis sodalis
Arkansas:2005:Neonympha areolata areolata
Arkansas:2005:Nicrophorus americanus
Arkansas:2005:Notiosorex crawfordi
Arkansas:2005:Notropis atrocaudalis
Arkansas:2005:Notropis bairdi
Arkansas:2005:Notropis girardi
Arkansas:2005:Notropis maculatus
Arkansas:2005:Notropis ortenburgeri
Arkansas:2005:Notropis ozarcanus
Arkansas:2005:Notropis perpallidus
Arkansas:2005:Notropis sabinae
Arkansas:2005:Noturus lachneri
Arkansas:2005:Noturus phaeus
Arkansas:2005:Noturus taylori
Arkansas:2005:Nyctanassa violacea
Arkansas:2005:Nycticorax nycticorax
Arkansas:2005:Obovaria jacksoniana
Arkansas:2005:Obovaria olivaria
Arkansas:2005:Obovaria subrotunda
Arkansas:2005:Ochrotrichia contorta
Arkansas:2005:Ophiogomphus westfalli
Arkansas:2005:Ophisaurus attenuatus attenuatus
Arkansas:2005:Oporornis formosus
Arkansas:2005:Orconectes eupunctus
Arkansas:2005:Orconectes macrus
Arkansas:2005:Orconectes marchandi
Arkansas:2005:Orconectes menae
Arkansas:2005:Orconectes nana
Arkansas:2005:Orconectes neglectus chaenodactylus
Arkansas:2005:Orconectes williamsi
Arkansas:2005:Ouachitychus parvoculus
Arkansas:2005:Paduniella nearctica
Arkansas:2005:Pandion haliaetus
Arkansas:2005:Paraleptophlebia calcarica
Arkansas:2005:Paravitrea aulacogyra
Arkansas:2005:Passerina ciris
Arkansas:2005:Paucicalcaria ozarkensis
Arkansas:2005:Percina phoxocephala
Arkansas:2005:Percina sp nov
Arkansas:2005:Percina uranidea
Arkansas:2005:Phalaropus tricolor
Arkansas:2005:Picoides borealis
Arkansas:2005:Pipilo erythrophthalmus
Arkansas:2005:Platygobio gracilis
Arkansas:2005:Plethodon caddoensis
Arkansas:2005:Plethodon fourchensis
Arkansas:2005:Plethodon kiamichi
Arkansas:2005:Plethodon kisatchie
Arkansas:2005:Plethodon ouachitae
Arkansas:2005:Plethodon sequoyah
Arkansas:2005:Pleurobema cordatum
Arkansas:2005:Pleurobema rubrum
Arkansas:2005:Pluvialis squatarola
Arkansas:2005:Podilymbus podiceps
Arkansas:2005:Porphyrio martinica
Arkansas:2005:Potamilus alatus
Arkansas:2005:Potamilus capax
Arkansas:2005:Problema byssus
Arkansas:2005:Procambarus ferrugineus
Arkansas:2005:Procambarus parasimulans
Arkansas:2005:Procambarus regalis
Arkansas:2005:Procambarus reimeri
Arkansas:2005:Procambarus tenuis
Arkansas:2005:Protonotaria citrea
Arkansas:2005:Pseudacris illinoensis
Arkansas:2005:Pseudacris streckeri
Arkansas:2005:Pseudactium magazinensis
Arkansas:2005:Pseudactium ursum
Arkansas:2005:Pseudosinella dubia
Arkansas:2005:Pseudosinella testa
Arkansas:2005:Pseudozaona occidentalis
Arkansas:2005:Pteronotropis hubbsi
Arkansas:2005:Pyrgulopsis ozarkensis
Arkansas:2005:Quadrula apiculata
Arkansas:2005:Quadrula cylindrica
Arkansas:2005:Quadrula nobilis
Arkansas:2005:Rallus elegans
Arkansas:2005:Rana areolata areolata
Arkansas:2005:Recurvirostra americana
Arkansas:2005:Regina grahamii
Arkansas:2005:Regina rigida sinicola
Arkansas:2005:Reithrodontomys humulis
Arkansas:2005:Reithrodontomys megalotis
Arkansas:2005:Rimulincola divalis
Arkansas:2005:Satyrium kingi
Arkansas:2005:Scaphinotus inflectus
Arkansas:2005:Scaphinotus parisiana
Arkansas:2005:Scaphiopus holbrookii
Arkansas:2005:Scaphiopus hurterii
Arkansas:2005:Scaphirhynchus albus
Arkansas:2005:Schaefferia alabamensis
Arkansas:2005:Schinia indiana
Arkansas:2005:Simpsonaias ambigua
Arkansas:2005:Somatogyrus crassilabris
Arkansas:2005:Somatogyrus wheeleri
Arkansas:2005:Sonora semiannulata
Arkansas:2005:Spea bombifrons
Arkansas:2005:Speyeria diana
Arkansas:2005:Spilogale putorius
Arkansas:2005:Stenotrema pilsbryi
Arkansas:2005:Stenotrema unciferum
Arkansas:2005:Sterna antillarum athalassos
Arkansas:2005:Strophitus undulatus
Arkansas:2005:Stygobromus elatus
Arkansas:2005:Stygobromus ozarkensis
Arkansas:2005:Synaptomys cooperi
Arkansas:2005:Taxidea taxus
Arkansas:2005:Terrapene ornata ornata
Arkansas:2005:Tetraopes texanus
Arkansas:2005:Thryomanes bewickii
Arkansas:2005:Toxolasma lividus
Arkansas:2005:Toxolasma texasensis
Arkansas:2005:Trigenotyla parca
Arkansas:2005:Tringa flavipes
Arkansas:2005:Tringa melanoleuca
Arkansas:2005:Tringa solitaria
Arkansas:2005:Truncilla donaciformis
Arkansas:2005:Tryngites subruficollis
Arkansas:2005:Tyto alba
Arkansas:2005:Uniomerus declivis
Arkansas:2005:Uniomerus tetralasmus
Arkansas:2005:Ursus americanus americanus
Arkansas:2005:Venustaconcha ellipsiformis
Arkansas:2005:Venustaconcha pleasii
Arkansas:2005:Villosa arkansasensis
Arkansas:2005:Villosa iris
Arkansas:2005:Villosa lienosa
Arkansas:2005:Vireo bellii
Arkansas:2005:Wilsonia citrina
Arkansas:2005:Xolotrema occidentale
Connecticut:2005:Accipiter cooperii
Connecticut:2005:Agkistrodon contortrix
Connecticut:2005:Agonum mutatum
Connecticut:2005:Alosa aestivalis
Connecticut:2005:Alosa pseudoharengus
Connecticut:2005:Ambystoma jeffersonianum
Connecticut:2005:Ammodramus maritimus
Connecticut:2005:Anarta luteola
Connecticut:2005:Apeltes quadracus
Connecticut:2005:Asio flammeus
Connecticut:2005:Asio otus
Connecticut:2005:Asteriid spp.
Connecticut:2005:Aythya marila
Connecticut:2005:Bembidion carinula
Connecticut:2005:Botaurus lentiginosus
Connecticut:2005:Brachinus fumans
Connecticut:2005:Brachinus medius
Connecticut:2005:Brachinus patruelis
Connecticut:2005:Brevoortia tyrannus
Connecticut:2005:Busycotypus canaliculatum
Connecticut:2005:Buteo platypterus
Connecticut:2005:Butorides virescens
Connecticut:2005:Calidris alba
Connecticut:2005:Calidris pusilla
Connecticut:2005:Callophrys polios
Connecticut:2005:Cancer borealis
Connecticut:2005:Carabus serratus
Connecticut:2005:Carabus sylvosus
Connecticut:2005:Carabus vinctus
Connecticut:2005:Catharus fuscescens
Connecticut:2005:Catharus minimus
Connecticut:2005:Catoptrophorus semipalmatus
Connecticut:2005:Catostomus catostomus
Connecticut:2005:Ceryle alcyon
Connecticut:2005:Charadrius melodus
Connecticut:2005:Chordeiles minor
Connecticut:2005:Cicindela marginata
Connecticut:2005:Cicindela puritana
Connecticut:2005:Cicindela tranquebarica
Connecticut:2005:Cistothorus palustris
Connecticut:2005:Cistothorus platensis
Connecticut:2005:Colinus virginianus
Connecticut:2005:Contopus borealis
Connecticut:2005:Contopus virens
Connecticut:2005:Cordulegaster erronea
Connecticut:2005:Cryptotis parva
Connecticut:2005:Cyclopterus lumpus
Connecticut:2005:Desmognathus fuscus
Connecticut:2005:Egretta caerulea
Connecticut:2005:Egretta thula
Connecticut:2005:Enallagma doubledayi
Connecticut:2005:Enallagma minusculum
Connecticut:2005:Eremophila alpestris
Connecticut:2005:Eumeces fasciatus
Connecticut:2005:Euphyes dion
Connecticut:2005:Faronta rubripennis
Connecticut:2005:Felis rufus
Connecticut:2005:Geopinus incrassatus
Connecticut:2005:Grammia phyllira
Connecticut:2005:Gyraulus circumstriatus
Connecticut:2005:Harpalus caliginosus
Connecticut:2005:Harpalus eraticus
Connecticut:2005:Hetaerina americana
Connecticut:2005:Homarus americanus
Connecticut:2005:Hybomitra typhus
Connecticut:2005:Lampsilis cariosa
Connecticut:2005:Libinia emarginata
Connecticut:2005:Ligumia nasuta
Connecticut:2005:Lycaena hyllus
Connecticut:2005:Melanerpes erythrocephalus
Connecticut:2005:Melanitta nigra
Connecticut:2005:Mergus merganser
Connecticut:2005:Micropterus salmoides
Connecticut:2005:Mniotilta varia
Connecticut:2005:Mustela vison
Connecticut:2005:Mustelis canis
Connecticut:2005:Napaeozapus insignis
Connecticut:2005:Palaemonetes spp.
Connecticut:2005:Paraleptophlebia assimilis
Connecticut:2005:Phyllonorycter ledella
Connecticut:2005:Plegadis falcinellus
Connecticut:2005:Procambarus acutus
Connecticut:2005:Raja eglanteria
Connecticut:2005:Regulus satrapa
Connecticut:2005:Seiurus aurocapillus
